index,model_answer,gold_answer,is_correct
0,70,70,True
1,864,588,False
2,756,16,False
3,34,117,False
4,-585,279,False
5,342,504,False
6,92,821,False
7,47,77,False
8,19,62,False
9,108,81,False
10,343,259,False
11,102,510,False
12,378,204,False
13,85,60,False
14,361,735,False
15,752.4,468,False
16,4,49,False
17,2,82,False
18,695,106,False
19,156,336,False
20,37,293,False
21,32775,237,False
22,1000,610,False
23,21,149,False
24,870,907,False
25,1,113,False
26,32,19,False
27,36,248,False
28,15,104,False
29,188,240,False
0,49,70,False
1,632,588,False
2,470,16,False
3,34,117,False
4,9062,279,False
5,306,504,False
6,136,821,False
7,143,77,False
8,45,62,False
9,114,81,False
10,70,259,False
11,603,510,False
12,86,204,False
13,92,60,False
14,147,735,False
15,1170,468,False
16,55,49,False
17,2,82,False
18,11,106,False
19,312,336,False
20,73,293,False
21,49150,237,False
22,1000,610,False
23,109,149,False
24,870,907,False
25,479001600,113,False
26,80,19,False
27,286,248,False
28,49,104,False
29,230,240,False
