index,model_answer,gold_answer,is_correct
0,70,70,True
1,576,588,False
2,273,16,False
3,134,117,False
4,2295,279,False
5,180,504,False
6,7,821,False
7,43,77,False
8,9,62,False
9,114,81,False
10,36,259,False
11,453,510,False
12,352,204,False
13,1,60,False
14,520,735,False
15,198,468,False
16,16,49,False
17,2,82,False
18,323,106,False
19,168,336,False
20,37,293,False
21,8195,237,False
22,960,610,False
23,60,149,False
24,974,907,False
25,2704156,113,False
26,49,19,False
27,524,248,False
28,49,104,False
29,153,240,False
0,70,70,True
1,638,588,False
2,504,16,False
3,167,117,False
4,-425,279,False
5,288,504,False
6,7,821,False
7,1,77,False
8,8,62,False
9,120,81,False
10,2,259,False
11,79,510,False
12,379,204,False
13,81,60,False
14,147,735,False
15,765,468,False
16,11,49,False
17,64,82,False
18,17,106,False
19,360,336,False
20,157,293,False
21,2049,237,False
22,400,610,False
23,9,149,False
24,584,907,False
25,316234143225,113,False
26,57,19,False
27,2,248,False
28,112,104,False
29,188,240,False
0,70,70,True
1,432,588,False
2,16,16,True
3,168,117,False
4,12635,279,False
5,2286,504,False
6,7,821,False
7,3,77,False
8,20,62,False
9,51,81,False
10,53,259,False
11,1878,510,False
12,31,204,False
13,89,60,False
14,907,735,False
15,1170.8730716862524,468,False
16,12,49,False
17,2,82,False
18,16,106,False
19,312,336,False
20,51099,293,False
21,32787,237,False
22,1000,610,False
23,64,149,False
24,256,907,False
25,6,113,False
26,57,19,False
27,3,248,False
28,16,104,False
29,188,240,False
0,49,70,False
1,693,588,False
2,120,16,False
3,168,117,False
4,18135,279,False
5,306,504,False
6,8,821,False
7,37,77,False
8,8,62,False
9,38,81,False
10,36,259,False
11,1,510,False
12,31,204,False
13,79,60,False
14,369,735,False
15,537.4011537017761,468,False
16,11,49,False
17,2,82,False
18,187,106,False
19,312,336,False
20,17,293,False
21,129,237,False
22,976,610,False
23,20,149,False
24,481,907,False
25,316254504525,113,False
26,25,19,False
27,36,248,False
28,144,104,False
29,225,240,False
0,70,70,True
1,3312,588,False
2,504,16,False
3,160,117,False
4,NaN,279,False
5,432,504,False
6,15,821,False
7,1,77,False
8,6,62,False
9,114,81,False
10,19,259,False
11,103,510,False
12,29,204,False
13,61,60,False
14,147,735,False
15,965.615056583109,468,False
16,1,49,False
17,2,82,False
18,995,106,False
19,312,336,False
20,73,293,False
21,32791,237,False
22,1000,610,False
23,18,149,False
24,256,907,False
25,2704560,113,False
26,16,19,False
27,36,248,False
28,49,104,False
29,216,240,False
0,70,70,True
1,840,588,False
2,504,16,False
3,168,117,False
4,N - 2025,279,False
5,20718,504,False
6,7,821,False
7,21,77,False
8,9,62,False
9,24,81,False
10,5,259,False
11,303,510,False
12,32,204,False
13,42,60,False
14,683,735,False
15,576,468,False
16,15,49,False
17,16,82,False
18,3041,106,False
19,336,336,True
20,16833,293,False
21,25,237,False
22,649,610,False
23,24,149,False
24,9,907,False
25,3243120,113,False
26,137,19,False
27,3,248,False
28,168,104,False
29,188,240,False
0,70,70,True
1,576,588,False
2,756,16,False
3,210,117,False
4,-192,279,False
5,504,504,True
6,59,821,False
7,155,77,False
8,51,62,False
9,39,81,False
10,2,259,False
11,227,510,False
12,31,204,False
13,83,60,False
14,683,735,False
15,170.5,468,False
16,1,49,False
17,4,82,False
18,193,106,False
19,312,336,False
20,73,293,False
21,9,237,False
22,1,610,False
23,19,149,False
24,final_answer,907,False
25,316234143225,113,False
26,41,19,False
27,14,248,False
28,98,104,False
29,202,240,False
0,21,70,False
1,576,588,False
2,764,16,False
3,168,117,False
4,180,279,False
5,504,504,True
6,7,821,False
7,3,77,False
8,6,62,False
9,114,81,False
10,70,259,False
11,103,510,False
12,58,204,False
13,85,60,False
14,489,735,False
15,462,468,False
16,11,49,False
17,2,82,False
18,4,106,False
19,504,336,False
20,73,293,False
21,40958,237,False
22,1000,610,False
23,20,149,False
24,445,907,False
25,316234143225,113,False
26,39,19,False
27,49,248,False
28,112,104,False
29,188,240,False
0,70,70,True
1,672,588,False
2,764,16,False
3,34,117,False
4,-2025,279,False
5,306,504,False
6,3,821,False
7,75,77,False
8,62,62,True
9,53,81,False
10,36,259,False
11,266,510,False
12,38,204,False
13,82,60,False
14,720,735,False
15,12,468,False
16,65,49,False
17,2,82,False
18,31,106,False
19,408,336,False
20,73,293,False
21,17,237,False
22,1000,610,False
23,13,149,False
24,870,907,False
25,10405,113,False
26,52,19,False
27,432,248,False
28,196,104,False
29,178.67,240,False
0,70,70,True
1,480,588,False
2,756,16,False
3,168,117,False
4,585,279,False
5,504,504,True
6,7,821,False
7,47,77,False
8,19,62,False
9,192,81,False
10,2,259,False
11,153,510,False
12,354,204,False
13,55,60,False
14,361,735,False
15,120,468,False
16,12,49,False
17,16,82,False
18,1045,106,False
19,360,336,False
20,109,293,False
21,38409,237,False
22,800,610,False
23,145,149,False
24,584,907,False
25,676039/1024,113,False
26,137,19,False
27,208,248,False
28,56,104,False
29,188,240,False
