index,model_answer,gold_answer,is_correct
0,414478596444581735990496,2^{99},False
1,1/3,\frac{1}{9},False
2,3,\frac{\sqrt{13}}{2},False
3,9/68,\frac{1}{9},False
4,36,240,False
5,45,72,False
6,924,924,True
7,1013,20,False
8,171,173,False
9,13,100,False
10,3,3+2\sqrt{2},False
11,362880,125,False
12,1/3,\frac{1}{3},True
13,810000,7,False
14,4608,4529,False
15,1296,1296,True
16,2*sqrt(2),1+\sqrt{3},False
17,0,20\pi,False
18,6,12,False
19,9,12,False
20,216,160,False
21,8,72,False
22,2,"2,3,\frac{3+i\sqrt{3}}{2},\frac{3-i\sqrt{3}}{2}",False
23,16,89,False
24,sqrt(17),\frac{1+\sqrt{31}}{2},False
25,727,337,False
26,18,\frac{737}{39},False
27,12,5\sqrt{2},False
28,0,-\frac{2431}{50},False
29,12,\frac{9\sqrt{30}}{4},False
0,171792506910670443678820376588540424234035840667,2^{99},False
1,1/2,\frac{1}{9},False
2,3/2,\frac{\sqrt{13}}{2},False
3,2/17,\frac{1}{9},False
4,90,240,False
5,None,72,False
6,924,924,True
7,1480951402357481300653545521126698753050660381797415538843394830581518327079245943120261008350094582981880933869781278221212715309885181636212809647590649328582453492775016243539779609671700608444731692948742793696550846387614865188713590357814407409561309129690637158514626136238877258282348733787975049535515848107104858057894899834717727202615972838390931094480318579422147312013273479935797101726710468649103716629653968216120873261395332447965754229487745035263333137891298069812255356466287936321380826689196191850120107145429071719754511021210087312399602234236918921952171974118434564945859132711642224057625595242402119235964291245533201306123262046279616023793060805516987256466877374718238727381924307012721220442041628019948520088101887267311080860598530702557610589003648778999159355748998587349192130771508332643635188681911402326588759364805150148978185074228208731008981526984744318130005477823808692887537933148564802676803187074386432281796173529440,20,False
8,213,173,False
9,13,100,False
10,sqrt(21),3+2\sqrt{2},False
11,59049,125,False
12,1/3,\frac{1}{3},True
13,17.30097267563389,7,False
14,48,4529,False
15,1296,1296,True
16,sqrt(2),1+\sqrt{3},False
17,0,20\pi,False
18,6,12,False
19,1,12,False
20,90,160,False
21,8,72,False
22,"[1,2,3]","2,3,\frac{3+i\sqrt{3}}{2},\frac{3-i\sqrt{3}}{2}",False
23,1,89,False
24,2,\frac{1+\sqrt{31}}{2},False
25,43,337,False
26,13.5,\frac{737}{39},False
27,13 - sqrt(119),5\sqrt{2},False
28,0,-\frac{2431}{50},False
29,12,\frac{9\sqrt{30}}{4},False
0,633825300114114700748351602688,2^{99},True
1,-1/2 + sqrt(13)/6,\frac{1}{9},False
2,sqrt(13),\frac{\sqrt{13}}{2},False
3,1/9,\frac{1}{9},True
4,72,240,False
5,63,72,False
6,924,924,True
7,2025,20,False
8,231,173,False
9,13,100,False
10,4,3+2\sqrt{2},False
11,362880,125,False
12,0.25,\frac{1}{3},False
13,65536/81,7,False
14,4608,4529,False
15,1296,1296,True
16,sqrt(2),1+\sqrt{3},False
17,62.83185307179586,20\pi,True
18,6,12,False
19,16,12,False
20,160,160,True
21,8,72,False
22,"[2,3]","2,3,\frac{3+i\sqrt{3}}{2},\frac{3-i\sqrt{3}}{2}",False
23,1,89,False
24,2,\frac{1+\sqrt{31}}{2},False
25,779,337,False
26,4.5,\frac{737}{39},False
27,13,5\sqrt{2},False
28,0,-\frac{2431}{50},False
29,12,\frac{9\sqrt{30}}{4},False
0,8.042232727882295e-25,2^{99},False
1,1/9,\frac{1}{9},True
2,3.5,\frac{\sqrt{13}}{2},False
3,1,\frac{1}{9},False
4,120,240,False
5,53,72,False
6,924,924,True
7,2025,20,False
8,231,173,False
9,25,100,False
10,4,3+2\sqrt{2},False
11,181440,125,False
12,1/3,\frac{1}{3},True
13,256,7,False
14,4608,4529,False
15,1296,1296,True
16,sqrt(6),1+\sqrt{3},False
17,20,20\pi,False
18,6,12,False
19,12,12,True
20,66,160,False
21,8,72,False
22,"[1,2,3]","2,3,\frac{3+i\sqrt{3}}{2},\frac{3-i\sqrt{3}}{2}",False
23,1,89,False
24,2,\frac{1+\sqrt{31}}{2},False
25,273,337,False
26,69,\frac{737}{39},False
27,15,5\sqrt{2},False
28,0,-\frac{2431}{50},False
29,12,\frac{9\sqrt{30}}{4},False
