index,question,model_answer,gold_answer,is_correct,warning
4,"Let $A,B,C,$ and $D$ be points on a line in that order. There exists a point $E$ such that $\angle AED = 120^\circ$ and triangle $BEC$ is equilateral. Given that $BC = 10$ and $AD = 39$, compute $|AB - CD|$.
",19,21,False,3
4,"Let $A,B,C,$ and $D$ be points on a line in that order. There exists a point $E$ such that $\angle AED = 120^\circ$ and triangle $BEC$ is equilateral. Given that $BC = 10$ and $AD = 39$, compute $|AB - CD|$.
",29,21,False,0
14,"Compute the number of ways to erase 26 letters from the string
\[
\text{SUNSUNSUNSUNSUNSUNSUNSUNSUNSUN}
\]
such that the remaining 4 letters spell \texttt{SUNS} in order.
",6,495,False,0
11,"Uranus has $29$ known moons. Each moon is blue, icy, or large, though some moons may have several of these characteristics. There are $10$ moons which are blue but not icy, $8$ moons which are icy but not large, and $6$ moons which are large but not blue. Compute the number of moons which are simultaneously blue, icy, and large.",9,5,False,0
19,"The orbits of Pluto and Charon are given by the ellipses
\[
x^2 + xy + y^2 = 20 \quad \text{and} \quad 2x^2 - xy + y^2 = 25,
\]
respectively. These orbits intersect at four points that form a parallelogram. Compute the largest of the slopes of the four sides of this parallelogram.
",8/3,\frac{sqrt{7} + 1}{2},False,0
5,"Kelvin the frog is at the point $(0,0,0)$ and wishes to reach the point $(3,3,3)$. In a single move, he can either increase any single coordinate by 1, or he can decrease his $z$-coordinate by 1. Given that he cannot visit any point twice, and that at all times his coordinates must all stay between $0$ and $3$ (inclusive), compute the number of distinct paths Kelvin can take to reach $(3,3,3)$.
",21,81920,False,0
7,"Let $\Gamma_1$ and $\Gamma_2$ be two circles that intersect at two points $P$ and $Q$. Let $\ell_1$ and $\ell_2$ be the common external tangents of $\Gamma_1$ and $\Gamma_2$. Let $\Gamma_1$ touch $\ell_1$ and $\ell_2$ at $U_1$ and $U_2$, respectively, and let $\Gamma_2$ touch $\ell_1$ and $\ell_2$ at $V_1$ and $V_2$, respectively. Given that $PQ = 10$ and the distances from $P$ to $\ell_1$ and $\ell_2$ are $3$ and $12$, respectively, compute the area of the quadrilateral $U_1U_2V_2V_1$.
",60,200,False,0
24,"Kelvin the frog is in the bottom-left cell of a $6 \times 6$ grid, and he wants to reach the top-right cell. He can take steps either up one cell or right one cell. However, there is a raccoon in one of the 36 cells uniformly at random, and Kelvin's path must avoid this raccoon. Compute the expected number of distinct paths Kelvin can take to reach the top-right cell.

(If the raccoon is in either the bottom-left or top-right cell, then there are $0$ such paths.)
",840,175,False,0
22,"Let $ABCD$ and $CEFG$ be squares such that $C$ lies on segment $\overline{DG}$ and $E$ lies on segment $\overline{BC}$. Let $O$ be the circumcenter of triangle $AEG$. Given that $A, D,$ and $O$ are collinear and $AB = 1$, compute $FG$.",3/2,\sqrt{3} - 1,False,2
15,"Regular hexagon $SATURN$ (with vertices in counterclockwise order) has side length $2$. Point $O$ is the reflection of $T$ over $S$. Hexagon $SATURN$ is rotated $45^\circ$ counterclockwise around $O$. Compute the area its interior traces out during this rotation.
",6*sqrt(3),5\pi + 6\sqrt{3},False,0
29,"Let $ABCD$ be an isosceles trapezoid with $\overline{AB} \parallel \overline{CD}$, and let $P$ be a point in the interior of $ABCD$ such that
\[
\angle PBA = 3\angle PAB \quad \text{and} \quad \angle PCD = 3\angle PDC.
\]
Given that $BP = 8$, $CP = 9$, and $\cos\angle APD = \frac{2}{3}$, compute $\cos\angle PAB$.
",3/7,\frac{3\sqrt{5}}{7},False,0
2,"Ashley fills each cell of a $3 \times 3$ grid with some of the numbers $1,2,3,$ and $4$ (possibly none or several).
Compute the number of ways she can do so such that each row and each column contains each of $1,2,3,$ and $4$ exactly once. (One such grid is shown below.)
\[
\begin{array}{cccc}
1 2 & 3 4 & \\
4 & 1 & 2 3 \\
3 & 2 & 1 4
\end{array}
\]",30,1296,False,0
27,"Alexandrimitrov is walking in the $3 \times 10$ grid below. He can walk from a cell to any cell that shares an edge with it. Given that he starts in cell $A$, compute the number of ways he can walk to cell $B$ such that he visits every cell exactly once. (Starting in cell $A$ counts as visiting cell $A$.)
\[
\begin{array}{cccccccccc}
- & - & - & - & - & - & - & - & - & - \\
- & A & - & - & - & - & - & - & B & - \\
- & - & - & - & - & - & - & - & - & -
\end{array}
\]",1,254,False,0
0,"Let $ABCD$ be a rectangle. Let $X$ and $Y$ be points on segments $\overlien{BC}$ and $\overline{AD}$, respectively, such that $\angle AXY = \angle XYC = 90^\circ$. Given that $AX : XY : YC = 1 : 2 : 1$ and $AB = 1$, compute $BC$.
",2,3,False,0
6,"A positive integer $n$ is \emph{imbalanced} if strictly more than 99 percent of the positive divisors of $n$ are strictly less than 1 percent of $n$. Given that $M$ is an imbalanced multiple of $2000$, compute the minimum possible number of positive divisors of $M$.
",20,1305,False,0
3,"Given that $a,b,$ and $c$ are integers with $c \le 2025$ such that
\[
|x^2 + ax + b| = c
\]
has exactly 3 distinct integer solutions for $x$, compute the number of possible values of $c$.
",1,31,False,3
18,"Triton performs an ancient Neptunian ritual consisting of drawing red, green, and blue marbles from a bag. Initially, Triton has 3 marbles of each color, and the bag contains an additional 3 marbles of each color. Every turn, Triton picks one marble to put into the bag, then draws one marble uniformly at random from the bag (possibly the one he just discarded). The ritual is completed once Triton has 6 marbles of one color and 3 of another. Compute the expected number of turns the ritual will take, given that Triton plays optimally to minimize this value.",5,91/6,False,0
23,"For positive integers $n$ and $k$ with $k > 1$, let $s_k(n)$ denote the sum of the digits of $n$ when written in base $k$. (For instance, $s_3(2025) = 5$ because $2025 = 2210000_3$.) A positive integer $n$ is a \emph{digiroot} if
\[
s_2(n) = \sqrt{s_4(n)}.
\]
Compute the sum of all digiroots less than $1000$.",1,3069,False,0
28,"Let $a,b,$ and $c$ be positive real numbers such that
\begin{align*}
\sqrt{a} + \sqrt{b} + \sqrt{c} &= 7, \\
\sqrt{a+1} + \sqrt{b+1} + \sqrt{c+1} &= 8,  \\
(\sqrt{a+1} + \sqrt{a})(\sqrt{b+1} + \sqrt{b})(\sqrt{c+1} + \sqrt{c}) &= 60.
\end{align*}
Compute $a + b + c$.",14,199/8,False,0
20,"Compute the number of ways to divide an $8 \times 8$ square into 3 rectangles, each with (positive) integer side lengths.",4,238,False,0
26,"Let $S$ be the set of all positive integers less than $143$ that are relatively prime to $143$. Compute the number of ordered triples $(a,b,c)$ of elements of $S$ such that $a+b=c$.
",[],5940,False,0
16,"Io, Europa, and Ganymede are three of Jupiter's moons. In one Jupiter month, they complete exactly $I, E,$ and $G$ orbits around Jupiter, respectively, for some positive integers $I, E,$ and $G$. Each moon appears as a full moon precisely at the start of each of its orbits. Suppose that in every Jupiter month, there are
\begin{itemize}
\item exactly $54$ moments of time with at least one full moon,
\item exactly $11$ moments of time with at least two full moons, and
\item at least $1$ moment of time with all three full moons.
\end{itemize}
Compute $I \cdot E \cdot G$.",60,7350,False,0
13,"Compute the unique 5-digit integer $\underline{EARTH}$ for which the following addition holds:
\[
\begin{array}{ccccc}
  & H & A & T & E & R \\
+ & H & E & A & R & T \\ \hline
  & E & A & R & T & H
\end{array}
\]
The digits $E, A, R, T,$ and $H$ are not necessarily distinct, but the leading digits $E$ and $H$ must be nonzero.",52417,99774,False,0
25,"Let $P$ be a point inside triangle $ABC$ such that $BP = PC$ and $\angle ABP + \angle ACP = 90^\circ$. Given that $AB = 12$, $AC = 16$, and $AP = 11$, compute the area of the concave quadrilateral $ABPC$.
",133,96-10\sqrt{21},False,0
12,"Let $VENUS$ be a convex pentagon with area $84$. Given that $NV$ is parallel to $SU$, $SE$ is parallel to $UN$, and triangle $SUN$ has area $24$, compute the maximum possible area of triangle $EUV$.
",24,36,False,3
17,"Let $MARS$ be a trapezoid with $\overline{MA}$ parallel to $\overline{RS}$ and side lengths $MA = 11$, $AR = 17$, $RS = 22$, and $SM = 16$. Point $X$ lies on side $\overline{MA}$ such that the common chord of the circumcircles of triangles $MXS$ and $AXR$ bisects segment $\overline{RS}$. Compute $MX$.",8,8.5,False,0
21,"Mark writes the squares of several distinct positive integers (in base 10) on a blackboard. Given that each nonzero digit appears exactly once on the blackboard, compute the smallest possible sum of the numbers on the blackboard.",2,855,False,3
8,"Let $a,b,$ and $c$ be pairwise distinct nonzero complex numbers such that
\begin{align*}
(10a + b)(10a + c) &= a + \frac{1}{a}, \\
(10b + a)(10b + c) &= b + \frac{1}{b}, \\
(10c + a)(10c + b) &= c + \frac{1}{c}.
\end{align*}
Compute $abc$.",1,1/91,False,0
1,"Suppose $n$ integers are placed in a circle such that each of the following conditions is satisfied:
\begin{itemize}
\item at least one of the integers is $0$;
\item each pair of adjacent integers differs by exactly $1$; and
\item the sum of the integers is exactly $24$.
\end{itemize}
Compute the smallest value of $n$ for which this is possible.
",12,12,True,0
10,"Mark has two one-liter flasks: flask A and flask B. Initially, flask A is fully filled with liquid mercury, and flask B is partially filled with liquid gallium. Mark pours the contents of flask A into flask B until flask B is full. Then, he mixes the contents of flask B and pours it back into flask A until flask A is full again. Given that the mixture in flask B is now $30\%$ mercury, and the mixture in flask A is $x\%$ mercury, compute $x$.",14,79,False,0
9,"Jacob and Bojac each start in a cell of the same $8 \times 8$ grid (possibly different cells). They listen to the same sequence of cardinal directions (North, South, East, and West). When a direction is called out, Jacob always walks one cell in that direction, while Bojac always walks one cell in the direction $90^\circ$ counterclockwise of the called direction. If either person cannot make their move without leaving the grid, that person stays still instead. Over all possible starting positions and sequences of instructions, compute the maximum possible number of distinct ordered pairs $(\text{Jacob's position}, \text{Bojac's position})$ that they could have reached.",50,372,False,3
4,10,21,False
14,4,495,False
11,5,5,True
19,3,\frac{sqrt{7} + 1}{2},False
5,65,81920,False
7,312.5,200,False
24,144,175,False
22,1,\sqrt{3} - 1,False
15,3,5\pi + 6\sqrt{3},False
29,1/2,\frac{3\sqrt{5}}{7},False
4,11,21,False
14,6,495,False
11,5,5,True
19,1,\frac{sqrt{7} + 1}{2},False
5,126,81920,False
7,300,200,False
24,1281.8,175,False
22,1,\sqrt{3} - 1,False
4,19,21,False
14,6,495,False
11,5,5,True
4,9,21,False
14,276,495,False
11,29,5,False
19,2,\frac{sqrt{7} + 1}{2},False
5,1680,81920,False
7,144,200,False
24,204.75,175,False
22,sqrt(2),\sqrt{3} - 1,False
15,pi/2,5\pi + 6\sqrt{3},False
29,1/3,\frac{3\sqrt{5}}{7},False
2,144,1296,False
27,0,254,False
0,4,3,False
6,100,1305,False
3,1981,31,False
18,10,91/6,False
23,475,3069,False
28,9,199/8,False
20,3,238,False
26,7200,5940,False
16,330,7350,False
13,21812,99774,False
25,96,96-10\sqrt{21},False
12,60,36,False
17,6,8.5,False
21,207,855,False
8,1,1/91,False
1,6,12,False
10,30,79,False
9,4096,372,False
4,9,21,False
14,1,495,False
11,9,5,False
19,2,\frac{sqrt{7} + 1}{2},False
5,16,81920,False
7,150,200,False
24,872,175,False
22,1,\sqrt{3} - 1,False
15,4,5\pi + 6\sqrt{3},False
29,1/2,\frac{3\sqrt{5}}{7},False
2,288,1296,False
27,1440,254,False
0,2,3,False
